City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
181,saint-philippe,-21.36,55.77,64.4,52,0,6.93,RE,1593565659
182,alta floresta,-9.88,-56.09,72.63,65,0,1.01,BR,1593565989
183,kang,-23.68,22.79,49.32,49,0,9.69,BW,1593565989
184,mehamn,71.04,27.85,41.76,91,100,20.18,NO,1593565932
185,faya,18.39,42.45,73.4,43,46,5.82,SA,1593565946
186,acapulco,16.86,-99.89,84.2,74,40,4.7,MX,1593565792
187,comendador,18.88,-71.7,74.93,76,96,1.72,DO,1593565989
188,atambua,-9.11,124.89,78.28,58,49,4.12,ID,1593565989
189,yumen,40.28,97.2,72.45,32,0,11.39,CN,1593565989
190,longyearbyen,78.22,15.64,44.6,65,100,8.05,SJ,1593565650
191,chuy,-33.7,-53.46,55.65,90,100,16.11,UY,1593565917
192,adrar,20.5,-10.07,94.42,22,0,12.28,MR,1593565989
193,katobu,-4.94,122.53,80.91,74,2,5.75,ID,1593565989
194,biltine,14.53,20.92,81.82,61,95,12.06,TD,1593565990
195,ust-kuyga,70.02,135.6,68.04,31,100,6.71,RU,1593565990
196,cabo san lucas,22.89,-109.91,84.0,83,40,6.93,MX,1593565804
197,jawhar,2.78,45.5,75.65,77,99,14.74,SO,1593565990
198,salta,-24.79,-65.41,48.2,39,0,6.93,AR,1593565942
199,vila velha,-20.33,-40.29,69.8,88,75,3.36,BR,1593565672
200,xiangfan,32.04,112.14,83.73,66,100,3.33,CN,1593565990
201,taikang,46.83,124.42,76.75,55,58,8.28,CN,1593565990
202,isla mujeres,21.23,-86.73,84.2,79,20,6.93,MX,1593565991
203,senador guiomard,-10.15,-67.74,71.6,100,84,2.24,BR,1593565991
204,pangnirtung,66.15,-65.71,47.07,59,39,3.0,CA,1593565866
205,kununurra,-15.77,128.73,75.2,20,0,3.36,AU,1593565692
206,thanesar,29.98,76.82,88.5,47,0,9.73,IN,1593565992
207,buala,-8.14,159.59,84.27,70,33,6.78,SB,1593565992
208,pacific grove,36.62,-121.92,62.6,72,1,9.17,US,1593565992
209,dwarka,22.24,68.97,84.99,75,100,3.56,IN,1593565992
210,broken hill,-31.95,141.43,62.6,27,40,12.75,AU,1593565928
211,te anau,-45.42,167.72,42.49,71,22,3.0,NZ,1593565992
212,mount gambier,-37.83,140.77,51.8,71,0,12.75,AU,1593565922
213,sioux lookout,50.1,-91.92,78.8,78,75,5.82,CA,1593565855
214,orotukan,62.27,151.7,58.06,37,35,17.87,RU,1593565940
215,raismes,50.38,3.48,64.0,100,100,6.93,FR,1593565993
216,jiaojiang,28.68,121.44,81.0,94,100,4.56,CN,1593565993
217,camargo,27.67,-105.17,76.48,49,100,22.32,MX,1593565993
218,plauen,50.5,12.13,57.0,69,0,1.01,DE,1593565993
219,saint george,37.1,-113.58,89.01,9,1,6.93,US,1593565930
220,port hedland,-20.32,118.57,71.6,49,99,3.36,AU,1593565913
221,katsuura,35.13,140.3,77.0,88,75,16.11,JP,1593565918
222,isiro,2.77,27.62,66.85,98,100,0.09,CD,1593565994
223,muriti,-1.98,32.92,73.67,58,100,14.16,TZ,1593565994
224,chicama,-7.84,-79.15,62.85,82,32,7.2,PE,1593565947
225,margate,51.38,1.39,63.0,91,100,1.99,GB,1593565658
226,kiama,-34.68,150.87,64.99,52,42,3.0,AU,1593565994
